Feed,,Rank,Station,City,Air Time,ET Time,Main Name,Main Phone #,#2 Name,Phone #2,#3 Name,Phone #3,#4 Name,Phone #4
6:00 PM,,1,WCBS-TV,"NEW YORK, NY",7:00 PM,7:00 PM,Encompass Hub,678-421-6825,Encompass Hub,678-421-6613,,,,
6:00 PM,,2,KCBS-TV,"LOS ANGELES, CA",7:00 PM,10:00 PM,Encompass Hub,678-421-6825,Encompass Hub,678-421-6613,,,,
6:00 PM,,3,WLS-TV,"CHICAGO, IL",3:37 AM,4:37 AM,Atlanta Hub,678-421-6902,Atlanta Hub,678-421-6900,,,,
3:00 PM,,3,WLS-TV,"CHICAGO, IL",3:00 PM,4:00 PM,Joshua Baranoff,678-459-7853,Operations,281-602-5611,,,,
6:00 PM,,5,KYW-TV,"PHILADELPHIA, PA",7:00 PM,7:00 PM,Encompass Hub,678-421-6825,Encompass Hub,678-421-6613,,,,
6:00 PM,,4,WFAA,"DALLAS, TX",12:42 AM,1:42 AM,Charlotte Hub,980-326-2482,Charlotte Hub,980-556-7604,,,,
3:00 PM,RERACK,4,WFAA,"DALLAS, TX ",2:30 PM,3:30 PM,Charlotte Hub,980-556-7609,Charlotte Hub,980-556-7606,In House #,214-977-6453,,
6:00 PM,,10,KRON-TV,"SAN FRANCISCO, CA",7:00PM & 11:00PM,10:00PM & 2:00AM,Indianapolis Hub,317-943-8109,Indianapolis Hub,317-943-8098,,,,
3:00 PM,,6,KTRK-TV,"HOUSTON, TX",3:30 PM,4:30 PM,Joshua Baranoff,678-459-7853,Operations,281-602-5611,,,,
6:00 PM,,7,WPCH-TV,"ATLANTA, GA",11:00 PM,11:00 PM,Atlanta Hub,404-327-3034,Atlanta Hub,404-327-3035,,,,
3:00 PM,RERACK,8,WUSA-DT,WASHINGTON D.C.,3:30 PM,3:30 PM,,202-895-5622,,202-895-5825,Charlotte Hub,980-556-7609,Charlotte Hub,980-556-7606
6:00 PM,,9,WHDH,"BOSTON, MA",7:00PM & 11:35PM,7:00PM & 11:35PM,,617-725-0705,,,,,,
3:00 PM,MIGHT,10,KRON-TV,"SAN FRANCISCO, CA",7:00 PM,10:00 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,Control Room,415-561-8015,,
6:00 PM,,13,KING / KONG,"SEATTLE, WA",3:30PM /7:00PM,6:30PM / 10:00PM,Charlotte Hub,980-326-2482,Charlotte Hub,980-556-7604,,,,
3:00 PM,MIGHT,12,KPHO-TV,"PHOENIX, AZ",3:30 PM,6:30 PM,Charles Smith / MC,602-207-3370,,,,,,
